SiteCode,TimePoint,NO2_obs
1188A,2019/1/14 8:00,82
1189A,2019/1/14 8:00,85
1190A,2019/1/14 8:00,71
1191A,2019/1/14 8:00,76
1192A,2019/1/14 8:00,87
1193A,2019/1/14 8:00,88
1194A,2019/1/14 8:00,90
1195A,2019/1/14 8:00,71
1196A,2019/1/14 8:00,88
1200A,2019/1/14 8:00,80
1201A,2019/1/14 8:00,76
1203A,2019/1/14 8:00,63
1204A,2019/1/14 8:00,68
1205A,2019/1/14 8:00,70
1206A,2019/1/14 8:00,55
1207A,2019/1/14 8:00,55
1209A,2019/1/14 8:00,63
1210A,2019/1/14 8:00,44
1211A,2019/1/14 8:00,50
1212A,2019/1/14 8:00,44
1213A,2019/1/14 8:00,41
1214A,2019/1/14 8:00,43
1215A,2019/1/14 8:00,63
1216A,2019/1/14 8:00,67
1218A,2019/1/14 8:00,58
1220A,2019/1/14 8:00,36
1221A,2019/1/14 8:00,40
1223A,2019/1/14 8:00,39
1225A,2019/1/14 8:00,30
1226A,2019/1/14 8:00,67
1227A,2019/1/14 8:00,33
1228A,2019/1/14 8:00,58
1229A,2019/1/14 8:00,65
1230A,2019/1/14 8:00,53
1231A,2019/1/14 8:00,61
1232A,2019/1/14 8:00,44
1233A,2019/1/14 8:00,26
1234A,2019/1/14 8:00,58
1235A,2019/1/14 8:00,50
1236A,2019/1/14 8:00,65
1237A,2019/1/14 8:00,52
1239A,2019/1/14 8:00,41
1240A,2019/1/14 8:00,57
1241A,2019/1/14 8:00,41
1242A,2019/1/14 8:00,42
1243A,2019/1/14 8:00,45
1244A,2019/1/14 8:00,46
1245A,2019/1/14 8:00,32
1246A,2019/1/14 8:00,51
1247A,2019/1/14 8:00,39
1250A,2019/1/14 8:00,73
1252A,2019/1/14 8:00,71
1253A,2019/1/14 8:00,70
1255A,2019/1/14 8:00,29
1256A,2019/1/14 8:00,46
1257A,2019/1/14 8:00,45
1258A,2019/1/14 8:00,65
1259A,2019/1/14 8:00,29
1260A,2019/1/14 8:00,50
1262A,2019/1/14 8:00,48
1263A,2019/1/14 8:00,46
1264A,2019/1/14 8:00,40
1265A,2019/1/14 8:00,33
1266A,2019/1/14 8:00,37
1267A,2019/1/14 8:00,26
1268A,2019/1/14 8:00,28
1269A,2019/1/14 8:00,21
1270A,2019/1/14 8:00,63
1271A,2019/1/14 8:00,54
1272A,2019/1/14 8:00,41
1273A,2019/1/14 8:00,26
1274A,2019/1/14 8:00,56
1275A,2019/1/14 8:00,35
1276A,2019/1/14 8:00,36
1277A,2019/1/14 8:00,54
1278A,2019/1/14 8:00,51
1279A,2019/1/14 8:00,38
1280A,2019/1/14 8:00,38
1282A,2019/1/14 8:00,39
1283A,2019/1/14 8:00,31
1284A,2019/1/14 8:00,29
1285A,2019/1/14 8:00,26
1286A,2019/1/14 8:00,13
1287A,2019/1/14 8:00,32
1288A,2019/1/14 8:00,23
1290A,2019/1/14 8:00,47
1291A,2019/1/14 8:00,48
1292A,2019/1/14 8:00,11
1293A,2019/1/14 8:00,37
1294A,2019/1/14 8:00,44
1295A,2019/1/14 8:00,45
1296A,2019/1/14 8:00,16
1298A,2019/1/14 8:00,30
1299A,2019/1/14 8:00,61
1300A,2019/1/14 8:00,80
1301A,2019/1/14 8:00,83
1302A,2019/1/14 8:00,80
1303A,2019/1/14 8:00,78
1304A,2019/1/14 8:00,81
1305A,2019/1/14 8:00,84
1306A,2019/1/14 8:00,83
1307A,2019/1/14 8:00,54
1308A,2019/1/14 8:00,61
1309A,2019/1/14 8:00,77
1310A,2019/1/14 8:00,94
1311A,2019/1/14 8:00,65
1312A,2019/1/14 8:00,59
1313A,2019/1/14 8:00,65
1314A,2019/1/14 8:00,64
1315A,2019/1/14 8:00,64
1316A,2019/1/14 8:00,57
1317A,2019/1/14 8:00,67
1318A,2019/1/14 8:00,49
1319A,2019/1/14 8:00,64
1320A,2019/1/14 8:00,41
1321A,2019/1/14 8:00,51
1322A,2019/1/14 8:00,82
1323A,2019/1/14 8:00,67
1324A,2019/1/14 8:00,47
1325A,2019/1/14 8:00,64
1326A,2019/1/14 8:00,45
1327A,2019/1/14 8:00,49
1328A,2019/1/14 8:00,56
1329A,2019/1/14 8:00,35
1330A,2019/1/14 8:00,43
1331A,2019/1/14 8:00,28
1333A,2019/1/14 8:00,40
1334A,2019/1/14 8:00,36
1336A,2019/1/14 8:00,36
1337A,2019/1/14 8:00,43
1338A,2019/1/14 8:00,39
1339A,2019/1/14 8:00,41
1340A,2019/1/14 8:00,30
1341A,2019/1/14 8:00,42
1342A,2019/1/14 8:00,39
1343A,2019/1/14 8:00,38
1344A,2019/1/14 8:00,36
1345A,2019/1/14 8:00,43
1346A,2019/1/14 8:00,42
1348A,2019/1/14 8:00,41
1349A,2019/1/14 8:00,50
1350A,2019/1/14 8:00,55
1351A,2019/1/14 8:00,35
1352A,2019/1/14 8:00,40
1353A,2019/1/14 8:00,28
1354A,2019/1/14 8:00,34
1355A,2019/1/14 8:00,32
1356A,2019/1/14 8:00,24
1357A,2019/1/14 8:00,19
1358A,2019/1/14 8:00,26
1359A,2019/1/14 8:00,24
1360A,2019/1/14 8:00,63
1361A,2019/1/14 8:00,6
1362A,2019/1/14 8:00,36
1363A,2019/1/14 8:00,11
1364A,2019/1/14 8:00,11
1365A,2019/1/14 8:00,11
1366A,2019/1/14 8:00,9
1367A,2019/1/14 8:00,17
1368A,2019/1/14 8:00,33
1369A,2019/1/14 8:00,16
1370A,2019/1/14 8:00,24
1371A,2019/1/14 8:00,42
1372A,2019/1/14 8:00,33
1373A,2019/1/14 8:00,38
1374A,2019/1/14 8:00,52
1375A,2019/1/14 8:00,42
1376A,2019/1/14 8:00,41
1377A,2019/1/14 8:00,39
1378A,2019/1/14 8:00,36
1379A,2019/1/14 8:00,51
1380A,2019/1/14 8:00,36
1381A,2019/1/14 8:00,28
1382A,2019/1/14 8:00,24
1383A,2019/1/14 8:00,51
1384A,2019/1/14 8:00,56
1385A,2019/1/14 8:00,54
1386A,2019/1/14 8:00,51
1387A,2019/1/14 8:00,46
1388A,2019/1/14 8:00,45
1389A,2019/1/14 8:00,42
1390A,2019/1/14 8:00,48
1391A,2019/1/14 8:00,51
1392A,2019/1/14 8:00,36
1393A,2019/1/14 8:00,34
1394A,2019/1/14 8:00,35
1395A,2019/1/14 8:00,38
1396A,2019/1/14 8:00,34
1397A,2019/1/14 8:00,39
1398A,2019/1/14 8:00,44
1400A,2019/1/14 8:00,49
1508A,2019/1/14 8:00,31
1511A,2019/1/14 8:00,39
1512A,2019/1/14 8:00,38
1513A,2019/1/14 8:00,51
1514A,2019/1/14 8:00,44
1515A,2019/1/14 8:00,39
1518A,2019/1/14 8:00,42
1519A,2019/1/14 8:00,44
1520A,2019/1/14 8:00,38
1524A,2019/1/14 8:00,49
1559A,2019/1/14 8:00,32
1562A,2019/1/14 8:00,40
1564A,2019/1/14 8:00,24
1596A,2019/1/14 8:00,70
1597A,2019/1/14 8:00,71
1598A,2019/1/14 8:00,55
1599A,2019/1/14 8:00,47
1600A,2019/1/14 8:00,44
1601A,2019/1/14 8:00,58
1602A,2019/1/14 8:00,50
1603A,2019/1/14 8:00,70
1604A,2019/1/14 8:00,51
1605A,2019/1/14 8:00,50
1606A,2019/1/14 8:00,40
1607A,2019/1/14 8:00,60
1608A,2019/1/14 8:00,50
1609A,2019/1/14 8:00,75
1610A,2019/1/14 8:00,43
1611A,2019/1/14 8:00,26
1612A,2019/1/14 8:00,33
1613A,2019/1/14 8:00,39
1614A,2019/1/14 8:00,23
1616A,2019/1/14 8:00,60
1618A,2019/1/14 8:00,85
1619A,2019/1/14 8:00,73
1620A,2019/1/14 8:00,72
1621A,2019/1/14 8:00,84
1622A,2019/1/14 8:00,49
1624A,2019/1/14 8:00,44
1625A,2019/1/14 8:00,55
1627A,2019/1/14 8:00,63
1628A,2019/1/14 8:00,90
1629A,2019/1/14 8:00,85
1630A,2019/1/14 8:00,95
1631A,2019/1/14 8:00,85
1632A,2019/1/14 8:00,74
1633A,2019/1/14 8:00,59
1634A,2019/1/14 8:00,65
1635A,2019/1/14 8:00,47
1636A,2019/1/14 8:00,82
1637A,2019/1/14 8:00,73
1639A,2019/1/14 8:00,85
1640A,2019/1/14 8:00,49
1642A,2019/1/14 8:00,60
1643A,2019/1/14 8:00,69
1644A,2019/1/14 8:00,59
1645A,2019/1/14 8:00,54
1646A,2019/1/14 8:00,62
1648A,2019/1/14 8:00,72
1650A,2019/1/14 8:00,72
1652A,2019/1/14 8:00,64
1653A,2019/1/14 8:00,69
1654A,2019/1/14 8:00,71
1655A,2019/1/14 8:00,78
1656A,2019/1/14 8:00,72
1657A,2019/1/14 8:00,65
1658A,2019/1/14 8:00,65
1659A,2019/1/14 8:00,73
1660A,2019/1/14 8:00,78
1661A,2019/1/14 8:00,70
1662A,2019/1/14 8:00,52
1663A,2019/1/14 8:00,76
1664A,2019/1/14 8:00,71
1665A,2019/1/14 8:00,60
1666A,2019/1/14 8:00,56
1667A,2019/1/14 8:00,48
1669A,2019/1/14 8:00,23
1670A,2019/1/14 8:00,27
1671A,2019/1/14 8:00,26
1672A,2019/1/14 8:00,25
1673A,2019/1/14 8:00,27
1674A,2019/1/14 8:00,33
1675A,2019/1/14 8:00,25
1676A,2019/1/14 8:00,17
1677A,2019/1/14 8:00,35
1678A,2019/1/14 8:00,21
1679A,2019/1/14 8:00,29
1690A,2019/1/14 8:00,26
1691A,2019/1/14 8:00,22
1692A,2019/1/14 8:00,24
1693A,2019/1/14 8:00,21
1694A,2019/1/14 8:00,24
1695A,2019/1/14 8:00,15
1696A,2019/1/14 8:00,24
1697A,2019/1/14 8:00,30
1698A,2019/1/14 8:00,30
1702A,2019/1/14 8:00,28
1703A,2019/1/14 8:00,37
1705A,2019/1/14 8:00,34
1706A,2019/1/14 8:00,32
1708A,2019/1/14 8:00,24
1709A,2019/1/14 8:00,46
1710A,2019/1/14 8:00,42
1711A,2019/1/14 8:00,34
1712A,2019/1/14 8:00,32
1713A,2019/1/14 8:00,53
1714A,2019/1/14 8:00,50
1718A,2019/1/14 8:00,56
1719A,2019/1/14 8:00,62
1720A,2019/1/14 8:00,60
1721A,2019/1/14 8:00,36
1723A,2019/1/14 8:00,55
1724A,2019/1/14 8:00,54
1725A,2019/1/14 8:00,49
1726A,2019/1/14 8:00,29
1727A,2019/1/14 8:00,72
1728A,2019/1/14 8:00,70
1730A,2019/1/14 8:00,66
1731A,2019/1/14 8:00,52
1733A,2019/1/14 8:00,77
1734A,2019/1/14 8:00,79
1735A,2019/1/14 8:00,66
1736A,2019/1/14 8:00,83
1737A,2019/1/14 8:00,66
1738A,2019/1/14 8:00,63
1739A,2019/1/14 8:00,69
1740A,2019/1/14 8:00,70
1741A,2019/1/14 8:00,63
1742A,2019/1/14 8:00,72
1743A,2019/1/14 8:00,71
1744A,2019/1/14 8:00,52
1745A,2019/1/14 8:00,56
1746A,2019/1/14 8:00,66
1748A,2019/1/14 8:00,53
1749A,2019/1/14 8:00,70
1750A,2019/1/14 8:00,56
1751A,2019/1/14 8:00,73
1752A,2019/1/14 8:00,52
1753A,2019/1/14 8:00,56
1754A,2019/1/14 8:00,43
1755A,2019/1/14 8:00,64
1756A,2019/1/14 8:00,57
1757A,2019/1/14 8:00,64
1758A,2019/1/14 8:00,67
1759A,2019/1/14 8:00,58
1760A,2019/1/14 8:00,20
1761A,2019/1/14 8:00,44
1762A,2019/1/14 8:00,60
1763A,2019/1/14 8:00,57
1764A,2019/1/14 8:00,56
1765A,2019/1/14 8:00,57
1766A,2019/1/14 8:00,49
1767A,2019/1/14 8:00,40
1768A,2019/1/14 8:00,50
1769A,2019/1/14 8:00,46
1770A,2019/1/14 8:00,39
1771A,2019/1/14 8:00,57
1772A,2019/1/14 8:00,60
1773A,2019/1/14 8:00,60
1774A,2019/1/14 8:00,58
1775A,2019/1/14 8:00,58
1776A,2019/1/14 8:00,55
1778A,2019/1/14 8:00,38
1779A,2019/1/14 8:00,47
1780A,2019/1/14 8:00,42
1781A,2019/1/14 8:00,37
1782A,2019/1/14 8:00,12
1783A,2019/1/14 8:00,27
1784A,2019/1/14 8:00,44
1785A,2019/1/14 8:00,45
1786A,2019/1/14 8:00,56
1787A,2019/1/14 8:00,43
1788A,2019/1/14 8:00,40
1789A,2019/1/14 8:00,47
1790A,2019/1/14 8:00,44
1791A,2019/1/14 8:00,48
1792A,2019/1/14 8:00,77
1793A,2019/1/14 8:00,51
1794A,2019/1/14 8:00,59
1795A,2019/1/14 8:00,63
1796A,2019/1/14 8:00,71
1797A,2019/1/14 8:00,68
1798A,2019/1/14 8:00,75
1799A,2019/1/14 8:00,79
1800A,2019/1/14 8:00,77
1801A,2019/1/14 8:00,71
1802A,2019/1/14 8:00,7
1803A,2019/1/14 8:00,28
1804A,2019/1/14 8:00,37
1805A,2019/1/14 8:00,26
1806A,2019/1/14 8:00,8
1808A,2019/1/14 8:00,38
1809A,2019/1/14 8:00,23
1810A,2019/1/14 8:00,13
1811A,2019/1/14 8:00,56
1812A,2019/1/14 8:00,79
1814A,2019/1/14 8:00,83
1815A,2019/1/14 8:00,82
1816A,2019/1/14 8:00,88
1817A,2019/1/14 8:00,92
1818A,2019/1/14 8:00,41
1819A,2019/1/14 8:00,51
1820A,2019/1/14 8:00,48
1822A,2019/1/14 8:00,55
1824A,2019/1/14 8:00,52
1825A,2019/1/14 8:00,57
1826A,2019/1/14 8:00,48
1828A,2019/1/14 8:00,71
1829A,2019/1/14 8:00,73
1830A,2019/1/14 8:00,69
1831A,2019/1/14 8:00,39
1832A,2019/1/14 8:00,54
1833A,2019/1/14 8:00,46
1834A,2019/1/14 8:00,38
1835A,2019/1/14 8:00,92
1836A,2019/1/14 8:00,92
1838A,2019/1/14 8:00,90
1839A,2019/1/14 8:00,31
1840A,2019/1/14 8:00,41
1841A,2019/1/14 8:00,33
1842A,2019/1/14 8:00,22
1843A,2019/1/14 8:00,31
1844A,2019/1/14 8:00,47
1845A,2019/1/14 8:00,48
1847A,2019/1/14 8:00,34
1848A,2019/1/14 8:00,46
1849A,2019/1/14 8:00,41
1850A,2019/1/14 8:00,27
1851A,2019/1/14 8:00,40
1852A,2019/1/14 8:00,32
1854A,2019/1/14 8:00,38
1857A,2019/1/14 8:00,30
1862A,2019/1/14 8:00,13
1959A,2019/1/14 8:00,68
1960A,2019/1/14 8:00,64
1961A,2019/1/14 8:00,62
1962A,2019/1/14 8:00,70
1963A,2019/1/14 8:00,63
1964A,2019/1/14 8:00,55
1965A,2019/1/14 8:00,68
1966A,2019/1/14 8:00,49
1968A,2019/1/14 8:00,64
1969A,2019/1/14 8:00,41
1970A,2019/1/14 8:00,39
1971A,2019/1/14 8:00,51
1972A,2019/1/14 8:00,53
1973A,2019/1/14 8:00,66
1974A,2019/1/14 8:00,55
1975A,2019/1/14 8:00,62
1976A,2019/1/14 8:00,48
1978A,2019/1/14 8:00,56
1979A,2019/1/14 8:00,67
1980A,2019/1/14 8:00,74
1981A,2019/1/14 8:00,73
1982A,2019/1/14 8:00,67
1983A,2019/1/14 8:00,55
1984A,2019/1/14 8:00,59
1985A,2019/1/14 8:00,86
1986A,2019/1/14 8:00,83
1987A,2019/1/14 8:00,74
1988A,2019/1/14 8:00,73
1989A,2019/1/14 8:00,78
1990A,2019/1/14 8:00,91
1991A,2019/1/14 8:00,35
1992A,2019/1/14 8:00,70
1993A,2019/1/14 8:00,76
1994A,2019/1/14 8:00,98
1995A,2019/1/14 8:00,83
1996A,2019/1/14 8:00,67
1997A,2019/1/14 8:00,61
1998A,2019/1/14 8:00,37
1999A,2019/1/14 8:00,79
2000A,2019/1/14 8:00,65
2001A,2019/1/14 8:00,78
2002A,2019/1/14 8:00,57
2003A,2019/1/14 8:00,79
2004A,2019/1/14 8:00,71
2006A,2019/1/14 8:00,71
2007A,2019/1/14 8:00,69
2008A,2019/1/14 8:00,31
2010A,2019/1/14 8:00,23
2013A,2019/1/14 8:00,21
2014A,2019/1/14 8:00,45
2015A,2019/1/14 8:00,46
2017A,2019/1/14 8:00,41
2018A,2019/1/14 8:00,71
2019A,2019/1/14 8:00,71
2031A,2019/1/14 8:00,46
2054A,2019/1/14 8:00,24
2064A,2019/1/14 8:00,23
2065A,2019/1/14 8:00,26
2066A,2019/1/14 8:00,28
2067A,2019/1/14 8:00,18
2068A,2019/1/14 8:00,20
2069A,2019/1/14 8:00,22
2070A,2019/1/14 8:00,23
2074A,2019/1/14 8:00,44
2075A,2019/1/14 8:00,36
2160A,2019/1/14 8:00,72
2161A,2019/1/14 8:00,79
2162A,2019/1/14 8:00,77
2163A,2019/1/14 8:00,78
2164A,2019/1/14 8:00,81
2165A,2019/1/14 8:00,72
2166A,2019/1/14 8:00,58
2167A,2019/1/14 8:00,62
2168A,2019/1/14 8:00,50
2169A,2019/1/14 8:00,59
2170A,2019/1/14 8:00,68
2171A,2019/1/14 8:00,60
2173A,2019/1/14 8:00,52
2174A,2019/1/14 8:00,68
2179A,2019/1/14 8:00,66
2180A,2019/1/14 8:00,64
2181A,2019/1/14 8:00,58
2182A,2019/1/14 8:00,64
2189A,2019/1/14 8:00,46
2190A,2019/1/14 8:00,53
2191A,2019/1/14 8:00,28
2192A,2019/1/14 8:00,38
2197A,2019/1/14 8:00,46
2200A,2019/1/14 8:00,44
2201A,2019/1/14 8:00,39
2202A,2019/1/14 8:00,4
2203A,2019/1/14 8:00,9
2207A,2019/1/14 8:00,36
2208A,2019/1/14 8:00,35
2209A,2019/1/14 8:00,43
2210A,2019/1/14 8:00,49
2211A,2019/1/14 8:00,32
2212A,2019/1/14 8:00,56
2213A,2019/1/14 8:00,56
2214A,2019/1/14 8:00,55
2215A,2019/1/14 8:00,43
2216A,2019/1/14 8:00,50
2217A,2019/1/14 8:00,33
2218A,2019/1/14 8:00,33
2219A,2019/1/14 8:00,57
2220A,2019/1/14 8:00,39
2221A,2019/1/14 8:00,37
2222A,2019/1/14 8:00,36
2223A,2019/1/14 8:00,37
2224A,2019/1/14 8:00,59
2225A,2019/1/14 8:00,59
2226A,2019/1/14 8:00,52
2227A,2019/1/14 8:00,46
2228A,2019/1/14 8:00,52
2229A,2019/1/14 8:00,42
2230A,2019/1/14 8:00,67
2231A,2019/1/14 8:00,28
2232A,2019/1/14 8:00,49
2234A,2019/1/14 8:00,42
2235A,2019/1/14 8:00,35
2236A,2019/1/14 8:00,28
2237A,2019/1/14 8:00,47
2238A,2019/1/14 8:00,51
2239A,2019/1/14 8:00,28
2240A,2019/1/14 8:00,59
2241A,2019/1/14 8:00,54
2242A,2019/1/14 8:00,48
2243A,2019/1/14 8:00,39
2244A,2019/1/14 8:00,32
2245A,2019/1/14 8:00,36
2246A,2019/1/14 8:00,47
2247A,2019/1/14 8:00,18
2248A,2019/1/14 8:00,47
2249A,2019/1/14 8:00,40
2250A,2019/1/14 8:00,60
2251A,2019/1/14 8:00,24
2252A,2019/1/14 8:00,55
2253A,2019/1/14 8:00,52
2255A,2019/1/14 8:00,27
2256A,2019/1/14 8:00,37
2257A,2019/1/14 8:00,40
2258A,2019/1/14 8:00,48
2259A,2019/1/14 8:00,30
2260A,2019/1/14 8:00,78
2261A,2019/1/14 8:00,44
2262A,2019/1/14 8:00,26
2266A,2019/1/14 8:00,4
2267A,2019/1/14 8:00,24
2270A,2019/1/14 8:00,4
2271A,2019/1/14 8:00,5
2272A,2019/1/14 8:00,6
2273A,2019/1/14 8:00,33
2274A,2019/1/14 8:00,34
2275A,2019/1/14 8:00,44
2277A,2019/1/14 8:00,4
2278A,2019/1/14 8:00,57
2279A,2019/1/14 8:00,41
2280A,2019/1/14 8:00,4
2281A,2019/1/14 8:00,5
2282A,2019/1/14 8:00,54
2283A,2019/1/14 8:00,66
2284A,2019/1/14 8:00,55
2285A,2019/1/14 8:00,55
2286A,2019/1/14 8:00,57
2287A,2019/1/14 8:00,71
2288A,2019/1/14 8:00,72
2289A,2019/1/14 8:00,46
2290A,2019/1/14 8:00,56
2291A,2019/1/14 8:00,41
2292A,2019/1/14 8:00,36
2295A,2019/1/14 8:00,18
2296A,2019/1/14 8:00,19
2297A,2019/1/14 8:00,19
2298A,2019/1/14 8:00,5
2299A,2019/1/14 8:00,42
2300A,2019/1/14 8:00,34
2301A,2019/1/14 8:00,15
2303A,2019/1/14 8:00,25
2305A,2019/1/14 8:00,11
2306A,2019/1/14 8:00,30
2307A,2019/1/14 8:00,22
2308A,2019/1/14 8:00,40
2309A,2019/1/14 8:00,43
2310A,2019/1/14 8:00,24
2311A,2019/1/14 8:00,10
2312A,2019/1/14 8:00,27
2314A,2019/1/14 8:00,82
2315A,2019/1/14 8:00,71
2316A,2019/1/14 8:00,62
2317A,2019/1/14 8:00,58
2318A,2019/1/14 8:00,80
2319A,2019/1/14 8:00,27
2320A,2019/1/14 8:00,16
2321A,2019/1/14 8:00,45
2322A,2019/1/14 8:00,30
2323A,2019/1/14 8:00,16
2324A,2019/1/14 8:00,20
2325A,2019/1/14 8:00,19
2326A,2019/1/14 8:00,17
2327A,2019/1/14 8:00,20
2331A,2019/1/14 8:00,13
2332A,2019/1/14 8:00,26
2333A,2019/1/14 8:00,21
2334A,2019/1/14 8:00,27
2335A,2019/1/14 8:00,19
2336A,2019/1/14 8:00,21
2337A,2019/1/14 8:00,35
2338A,2019/1/14 8:00,28
2339A,2019/1/14 8:00,25
2340A,2019/1/14 8:00,30
2341A,2019/1/14 8:00,40
2342A,2019/1/14 8:00,6
2343A,2019/1/14 8:00,20
2344A,2019/1/14 8:00,10
2345A,2019/1/14 8:00,24
2346A,2019/1/14 8:00,18
2347A,2019/1/14 8:00,10
2348A,2019/1/14 8:00,33
2349A,2019/1/14 8:00,34
2350A,2019/1/14 8:00,22
2351A,2019/1/14 8:00,25
2352A,2019/1/14 8:00,10
2353A,2019/1/14 8:00,17
2354A,2019/1/14 8:00,42
2355A,2019/1/14 8:00,47
2356A,2019/1/14 8:00,36
2357A,2019/1/14 8:00,28
2358A,2019/1/14 8:00,42
2359A,2019/1/14 8:00,31
2360A,2019/1/14 8:00,40
2361A,2019/1/14 8:00,38
2362A,2019/1/14 8:00,16
2363A,2019/1/14 8:00,23
