NO2,station_code,pubtime 
,1184A,2019/1/14 8:00
56,1186A,2019/1/14 8:00
,1187A,2019/1/14 8:00
82,1188A,2019/1/14 8:00
85,1189A,2019/1/14 8:00
71,1190A,2019/1/14 8:00
76,1191A,2019/1/14 8:00
87,1192A,2019/1/14 8:00
88,1193A,2019/1/14 8:00
90,1194A,2019/1/14 8:00
71,1195A,2019/1/14 8:00
88,1196A,2019/1/14 8:00
80,1200A,2019/1/14 8:00
76,1201A,2019/1/14 8:00
63,1203A,2019/1/14 8:00
68,1204A,2019/1/14 8:00
70,1205A,2019/1/14 8:00
55,1206A,2019/1/14 8:00
55,1207A,2019/1/14 8:00
63,1209A,2019/1/14 8:00
44,1210A,2019/1/14 8:00
50,1211A,2019/1/14 8:00
44,1212A,2019/1/14 8:00
41,1213A,2019/1/14 8:00
43,1214A,2019/1/14 8:00
63,1215A,2019/1/14 8:00
67,1216A,2019/1/14 8:00
58,1218A,2019/1/14 8:00
36,1220A,2019/1/14 8:00
40,1221A,2019/1/14 8:00
39,1223A,2019/1/14 8:00
,1224A,2019/1/14 8:00
30,1225A,2019/1/14 8:00
67,1226A,2019/1/14 8:00
33,1227A,2019/1/14 8:00
58,1228A,2019/1/14 8:00
65,1229A,2019/1/14 8:00
53,1230A,2019/1/14 8:00
61,1231A,2019/1/14 8:00
44,1232A,2019/1/14 8:00
26,1233A,2019/1/14 8:00
58,1234A,2019/1/14 8:00
50,1235A,2019/1/14 8:00
65,1236A,2019/1/14 8:00
52,1237A,2019/1/14 8:00
41,1239A,2019/1/14 8:00
57,1240A,2019/1/14 8:00
41,1241A,2019/1/14 8:00
42,1242A,2019/1/14 8:00
45,1243A,2019/1/14 8:00
46,1244A,2019/1/14 8:00
32,1245A,2019/1/14 8:00
51,1246A,2019/1/14 8:00
39,1247A,2019/1/14 8:00
73,1250A,2019/1/14 8:00
71,1252A,2019/1/14 8:00
70,1253A,2019/1/14 8:00
29,1255A,2019/1/14 8:00
46,1256A,2019/1/14 8:00
45,1257A,2019/1/14 8:00
65,1258A,2019/1/14 8:00
29,1259A,2019/1/14 8:00
50,1260A,2019/1/14 8:00
48,1262A,2019/1/14 8:00
46,1263A,2019/1/14 8:00
40,1264A,2019/1/14 8:00
33,1265A,2019/1/14 8:00
37,1266A,2019/1/14 8:00
26,1267A,2019/1/14 8:00
28,1268A,2019/1/14 8:00
21,1269A,2019/1/14 8:00
63,1270A,2019/1/14 8:00
54,1271A,2019/1/14 8:00
41,1272A,2019/1/14 8:00
26,1273A,2019/1/14 8:00
56,1274A,2019/1/14 8:00
35,1275A,2019/1/14 8:00
36,1276A,2019/1/14 8:00
54,1277A,2019/1/14 8:00
51,1278A,2019/1/14 8:00
38,1279A,2019/1/14 8:00
38,1280A,2019/1/14 8:00
39,1282A,2019/1/14 8:00
31,1283A,2019/1/14 8:00
29,1284A,2019/1/14 8:00
26,1285A,2019/1/14 8:00
13,1286A,2019/1/14 8:00
32,1287A,2019/1/14 8:00
23,1288A,2019/1/14 8:00
47,1290A,2019/1/14 8:00
48,1291A,2019/1/14 8:00
11,1292A,2019/1/14 8:00
37,1293A,2019/1/14 8:00
44,1294A,2019/1/14 8:00
45,1295A,2019/1/14 8:00
16,1296A,2019/1/14 8:00
30,1298A,2019/1/14 8:00
61,1299A,2019/1/14 8:00
80,1300A,2019/1/14 8:00
83,1301A,2019/1/14 8:00
80,1302A,2019/1/14 8:00
78,1303A,2019/1/14 8:00
81,1304A,2019/1/14 8:00
84,1305A,2019/1/14 8:00
83,1306A,2019/1/14 8:00
54,1307A,2019/1/14 8:00
61,1308A,2019/1/14 8:00
77,1309A,2019/1/14 8:00
94,1310A,2019/1/14 8:00
65,1311A,2019/1/14 8:00
59,1312A,2019/1/14 8:00
65,1313A,2019/1/14 8:00
64,1314A,2019/1/14 8:00
64,1315A,2019/1/14 8:00
57,1316A,2019/1/14 8:00
67,1317A,2019/1/14 8:00
49,1318A,2019/1/14 8:00
64,1319A,2019/1/14 8:00
41,1320A,2019/1/14 8:00
51,1321A,2019/1/14 8:00
82,1322A,2019/1/14 8:00
67,1323A,2019/1/14 8:00
47,1324A,2019/1/14 8:00
64,1325A,2019/1/14 8:00
45,1326A,2019/1/14 8:00
49,1327A,2019/1/14 8:00
56,1328A,2019/1/14 8:00
35,1329A,2019/1/14 8:00
43,1330A,2019/1/14 8:00
28,1331A,2019/1/14 8:00
40,1333A,2019/1/14 8:00
36,1334A,2019/1/14 8:00
,1335A,2019/1/14 8:00
36,1336A,2019/1/14 8:00
43,1337A,2019/1/14 8:00
39,1338A,2019/1/14 8:00
41,1339A,2019/1/14 8:00
30,1340A,2019/1/14 8:00
42,1341A,2019/1/14 8:00
39,1342A,2019/1/14 8:00
38,1343A,2019/1/14 8:00
36,1344A,2019/1/14 8:00
43,1345A,2019/1/14 8:00
42,1346A,2019/1/14 8:00
41,1348A,2019/1/14 8:00
50,1349A,2019/1/14 8:00
55,1350A,2019/1/14 8:00
35,1351A,2019/1/14 8:00
40,1352A,2019/1/14 8:00
28,1353A,2019/1/14 8:00
34,1354A,2019/1/14 8:00
32,1355A,2019/1/14 8:00
24,1356A,2019/1/14 8:00
19,1357A,2019/1/14 8:00
26,1358A,2019/1/14 8:00
24,1359A,2019/1/14 8:00
63,1360A,2019/1/14 8:00
6,1361A,2019/1/14 8:00
36,1362A,2019/1/14 8:00
11,1363A,2019/1/14 8:00
11,1364A,2019/1/14 8:00
11,1365A,2019/1/14 8:00
9,1366A,2019/1/14 8:00
17,1367A,2019/1/14 8:00
33,1368A,2019/1/14 8:00
16,1369A,2019/1/14 8:00
24,1370A,2019/1/14 8:00
42,1371A,2019/1/14 8:00
33,1372A,2019/1/14 8:00
38,1373A,2019/1/14 8:00
52,1374A,2019/1/14 8:00
42,1375A,2019/1/14 8:00
41,1376A,2019/1/14 8:00
39,1377A,2019/1/14 8:00
36,1378A,2019/1/14 8:00
51,1379A,2019/1/14 8:00
36,1380A,2019/1/14 8:00
28,1381A,2019/1/14 8:00
24,1382A,2019/1/14 8:00
51,1383A,2019/1/14 8:00
56,1384A,2019/1/14 8:00
54,1385A,2019/1/14 8:00
51,1386A,2019/1/14 8:00
46,1387A,2019/1/14 8:00
45,1388A,2019/1/14 8:00
42,1389A,2019/1/14 8:00
48,1390A,2019/1/14 8:00
51,1391A,2019/1/14 8:00
36,1392A,2019/1/14 8:00
34,1393A,2019/1/14 8:00
35,1394A,2019/1/14 8:00
38,1395A,2019/1/14 8:00
34,1396A,2019/1/14 8:00
39,1397A,2019/1/14 8:00
44,1398A,2019/1/14 8:00
,1399A,2019/1/14 8:00
49,1400A,2019/1/14 8:00
31,1508A,2019/1/14 8:00
39,1511A,2019/1/14 8:00
38,1512A,2019/1/14 8:00
51,1513A,2019/1/14 8:00
44,1514A,2019/1/14 8:00
39,1515A,2019/1/14 8:00
42,1518A,2019/1/14 8:00
44,1519A,2019/1/14 8:00
38,1520A,2019/1/14 8:00
49,1524A,2019/1/14 8:00
32,1559A,2019/1/14 8:00
40,1562A,2019/1/14 8:00
24,1564A,2019/1/14 8:00
70,1596A,2019/1/14 8:00
71,1597A,2019/1/14 8:00
55,1598A,2019/1/14 8:00
47,1599A,2019/1/14 8:00
44,1600A,2019/1/14 8:00
58,1601A,2019/1/14 8:00
50,1602A,2019/1/14 8:00
70,1603A,2019/1/14 8:00
51,1604A,2019/1/14 8:00
50,1605A,2019/1/14 8:00
40,1606A,2019/1/14 8:00
60,1607A,2019/1/14 8:00
50,1608A,2019/1/14 8:00
75,1609A,2019/1/14 8:00
43,1610A,2019/1/14 8:00
26,1611A,2019/1/14 8:00
33,1612A,2019/1/14 8:00
39,1613A,2019/1/14 8:00
23,1614A,2019/1/14 8:00
60,1616A,2019/1/14 8:00
85,1618A,2019/1/14 8:00
73,1619A,2019/1/14 8:00
72,1620A,2019/1/14 8:00
84,1621A,2019/1/14 8:00
49,1622A,2019/1/14 8:00
44,1624A,2019/1/14 8:00
55,1625A,2019/1/14 8:00
63,1627A,2019/1/14 8:00
90,1628A,2019/1/14 8:00
85,1629A,2019/1/14 8:00
95,1630A,2019/1/14 8:00
85,1631A,2019/1/14 8:00
74,1632A,2019/1/14 8:00
59,1633A,2019/1/14 8:00
65,1634A,2019/1/14 8:00
47,1635A,2019/1/14 8:00
82,1636A,2019/1/14 8:00
73,1637A,2019/1/14 8:00
,1638A,2019/1/14 8:00
85,1639A,2019/1/14 8:00
49,1640A,2019/1/14 8:00
,1641A,2019/1/14 8:00
60,1642A,2019/1/14 8:00
69,1643A,2019/1/14 8:00
59,1644A,2019/1/14 8:00
54,1645A,2019/1/14 8:00
62,1646A,2019/1/14 8:00
72,1648A,2019/1/14 8:00
72,1650A,2019/1/14 8:00
64,1652A,2019/1/14 8:00
69,1653A,2019/1/14 8:00
71,1654A,2019/1/14 8:00
78,1655A,2019/1/14 8:00
72,1656A,2019/1/14 8:00
65,1657A,2019/1/14 8:00
65,1658A,2019/1/14 8:00
73,1659A,2019/1/14 8:00
78,1660A,2019/1/14 8:00
70,1661A,2019/1/14 8:00
52,1662A,2019/1/14 8:00
76,1663A,2019/1/14 8:00
71,1664A,2019/1/14 8:00
60,1665A,2019/1/14 8:00
56,1666A,2019/1/14 8:00
48,1667A,2019/1/14 8:00
23,1669A,2019/1/14 8:00
27,1670A,2019/1/14 8:00
26,1671A,2019/1/14 8:00
25,1672A,2019/1/14 8:00
27,1673A,2019/1/14 8:00
33,1674A,2019/1/14 8:00
25,1675A,2019/1/14 8:00
17,1676A,2019/1/14 8:00
35,1677A,2019/1/14 8:00
21,1678A,2019/1/14 8:00
29,1679A,2019/1/14 8:00
26,1690A,2019/1/14 8:00
22,1691A,2019/1/14 8:00
24,1692A,2019/1/14 8:00
21,1693A,2019/1/14 8:00
24,1694A,2019/1/14 8:00
15,1695A,2019/1/14 8:00
24,1696A,2019/1/14 8:00
30,1697A,2019/1/14 8:00
30,1698A,2019/1/14 8:00
28,1702A,2019/1/14 8:00
37,1703A,2019/1/14 8:00
34,1705A,2019/1/14 8:00
32,1706A,2019/1/14 8:00
24,1708A,2019/1/14 8:00
46,1709A,2019/1/14 8:00
42,1710A,2019/1/14 8:00
34,1711A,2019/1/14 8:00
32,1712A,2019/1/14 8:00
53,1713A,2019/1/14 8:00
50,1714A,2019/1/14 8:00
56,1718A,2019/1/14 8:00
62,1719A,2019/1/14 8:00
60,1720A,2019/1/14 8:00
36,1721A,2019/1/14 8:00
55,1723A,2019/1/14 8:00
54,1724A,2019/1/14 8:00
49,1725A,2019/1/14 8:00
29,1726A,2019/1/14 8:00
72,1727A,2019/1/14 8:00
70,1728A,2019/1/14 8:00
66,1730A,2019/1/14 8:00
52,1731A,2019/1/14 8:00
77,1733A,2019/1/14 8:00
79,1734A,2019/1/14 8:00
66,1735A,2019/1/14 8:00
83,1736A,2019/1/14 8:00
66,1737A,2019/1/14 8:00
63,1738A,2019/1/14 8:00
69,1739A,2019/1/14 8:00
70,1740A,2019/1/14 8:00
63,1741A,2019/1/14 8:00
72,1742A,2019/1/14 8:00
71,1743A,2019/1/14 8:00
52,1744A,2019/1/14 8:00
56,1745A,2019/1/14 8:00
66,1746A,2019/1/14 8:00
53,1748A,2019/1/14 8:00
70,1749A,2019/1/14 8:00
56,1750A,2019/1/14 8:00
73,1751A,2019/1/14 8:00
52,1752A,2019/1/14 8:00
56,1753A,2019/1/14 8:00
43,1754A,2019/1/14 8:00
64,1755A,2019/1/14 8:00
57,1756A,2019/1/14 8:00
64,1757A,2019/1/14 8:00
67,1758A,2019/1/14 8:00
58,1759A,2019/1/14 8:00
20,1760A,2019/1/14 8:00
44,1761A,2019/1/14 8:00
60,1762A,2019/1/14 8:00
57,1763A,2019/1/14 8:00
56,1764A,2019/1/14 8:00
57,1765A,2019/1/14 8:00
49,1766A,2019/1/14 8:00
40,1767A,2019/1/14 8:00
50,1768A,2019/1/14 8:00
46,1769A,2019/1/14 8:00
39,1770A,2019/1/14 8:00
57,1771A,2019/1/14 8:00
60,1772A,2019/1/14 8:00
60,1773A,2019/1/14 8:00
58,1774A,2019/1/14 8:00
58,1775A,2019/1/14 8:00
55,1776A,2019/1/14 8:00
38,1778A,2019/1/14 8:00
47,1779A,2019/1/14 8:00
42,1780A,2019/1/14 8:00
37,1781A,2019/1/14 8:00
12,1782A,2019/1/14 8:00
27,1783A,2019/1/14 8:00
44,1784A,2019/1/14 8:00
45,1785A,2019/1/14 8:00
56,1786A,2019/1/14 8:00
43,1787A,2019/1/14 8:00
40,1788A,2019/1/14 8:00
47,1789A,2019/1/14 8:00
44,1790A,2019/1/14 8:00
48,1791A,2019/1/14 8:00
77,1792A,2019/1/14 8:00
51,1793A,2019/1/14 8:00
59,1794A,2019/1/14 8:00
63,1795A,2019/1/14 8:00
71,1796A,2019/1/14 8:00
68,1797A,2019/1/14 8:00
75,1798A,2019/1/14 8:00
79,1799A,2019/1/14 8:00
77,1800A,2019/1/14 8:00
71,1801A,2019/1/14 8:00
7,1802A,2019/1/14 8:00
28,1803A,2019/1/14 8:00
37,1804A,2019/1/14 8:00
26,1805A,2019/1/14 8:00
8,1806A,2019/1/14 8:00
38,1808A,2019/1/14 8:00
23,1809A,2019/1/14 8:00
13,1810A,2019/1/14 8:00
56,1811A,2019/1/14 8:00
79,1812A,2019/1/14 8:00
83,1814A,2019/1/14 8:00
82,1815A,2019/1/14 8:00
88,1816A,2019/1/14 8:00
92,1817A,2019/1/14 8:00
41,1818A,2019/1/14 8:00
51,1819A,2019/1/14 8:00
48,1820A,2019/1/14 8:00
55,1822A,2019/1/14 8:00
52,1824A,2019/1/14 8:00
57,1825A,2019/1/14 8:00
48,1826A,2019/1/14 8:00
71,1828A,2019/1/14 8:00
73,1829A,2019/1/14 8:00
69,1830A,2019/1/14 8:00
39,1831A,2019/1/14 8:00
54,1832A,2019/1/14 8:00
46,1833A,2019/1/14 8:00
38,1834A,2019/1/14 8:00
92,1835A,2019/1/14 8:00
92,1836A,2019/1/14 8:00
90,1838A,2019/1/14 8:00
31,1839A,2019/1/14 8:00
41,1840A,2019/1/14 8:00
33,1841A,2019/1/14 8:00
22,1842A,2019/1/14 8:00
31,1843A,2019/1/14 8:00
47,1844A,2019/1/14 8:00
48,1845A,2019/1/14 8:00
34,1847A,2019/1/14 8:00
46,1848A,2019/1/14 8:00
41,1849A,2019/1/14 8:00
27,1850A,2019/1/14 8:00
40,1851A,2019/1/14 8:00
32,1852A,2019/1/14 8:00
38,1854A,2019/1/14 8:00
30,1857A,2019/1/14 8:00
13,1862A,2019/1/14 8:00
68,1959A,2019/1/14 8:00
64,1960A,2019/1/14 8:00
62,1961A,2019/1/14 8:00
70,1962A,2019/1/14 8:00
63,1963A,2019/1/14 8:00
55,1964A,2019/1/14 8:00
68,1965A,2019/1/14 8:00
49,1966A,2019/1/14 8:00
,1967A,2019/1/14 8:00
64,1968A,2019/1/14 8:00
41,1969A,2019/1/14 8:00
39,1970A,2019/1/14 8:00
51,1971A,2019/1/14 8:00
53,1972A,2019/1/14 8:00
66,1973A,2019/1/14 8:00
55,1974A,2019/1/14 8:00
62,1975A,2019/1/14 8:00
48,1976A,2019/1/14 8:00
,1977A,2019/1/14 8:00
56,1978A,2019/1/14 8:00
67,1979A,2019/1/14 8:00
74,1980A,2019/1/14 8:00
73,1981A,2019/1/14 8:00
67,1982A,2019/1/14 8:00
55,1983A,2019/1/14 8:00
59,1984A,2019/1/14 8:00
86,1985A,2019/1/14 8:00
83,1986A,2019/1/14 8:00
74,1987A,2019/1/14 8:00
73,1988A,2019/1/14 8:00
78,1989A,2019/1/14 8:00
91,1990A,2019/1/14 8:00
35,1991A,2019/1/14 8:00
70,1992A,2019/1/14 8:00
76,1993A,2019/1/14 8:00
98,1994A,2019/1/14 8:00
83,1995A,2019/1/14 8:00
67,1996A,2019/1/14 8:00
61,1997A,2019/1/14 8:00
37,1998A,2019/1/14 8:00
79,1999A,2019/1/14 8:00
65,2000A,2019/1/14 8:00
78,2001A,2019/1/14 8:00
57,2002A,2019/1/14 8:00
79,2003A,2019/1/14 8:00
71,2004A,2019/1/14 8:00
,2005A,2019/1/14 8:00
71,2006A,2019/1/14 8:00
69,2007A,2019/1/14 8:00
31,2008A,2019/1/14 8:00
,2009A,2019/1/14 8:00
23,2010A,2019/1/14 8:00
,2011A,2019/1/14 8:00
,2012A,2019/1/14 8:00
21,2013A,2019/1/14 8:00
45,2014A,2019/1/14 8:00
46,2015A,2019/1/14 8:00
,2016A,2019/1/14 8:00
41,2017A,2019/1/14 8:00
71,2018A,2019/1/14 8:00
71,2019A,2019/1/14 8:00
46,2031A,2019/1/14 8:00
24,2054A,2019/1/14 8:00
23,2064A,2019/1/14 8:00
26,2065A,2019/1/14 8:00
28,2066A,2019/1/14 8:00
18,2067A,2019/1/14 8:00
20,2068A,2019/1/14 8:00
22,2069A,2019/1/14 8:00
23,2070A,2019/1/14 8:00
44,2074A,2019/1/14 8:00
36,2075A,2019/1/14 8:00
72,2160A,2019/1/14 8:00
79,2161A,2019/1/14 8:00
77,2162A,2019/1/14 8:00
78,2163A,2019/1/14 8:00
81,2164A,2019/1/14 8:00
72,2165A,2019/1/14 8:00
58,2166A,2019/1/14 8:00
62,2167A,2019/1/14 8:00
50,2168A,2019/1/14 8:00
59,2169A,2019/1/14 8:00
68,2170A,2019/1/14 8:00
60,2171A,2019/1/14 8:00
52,2173A,2019/1/14 8:00
68,2174A,2019/1/14 8:00
66,2179A,2019/1/14 8:00
64,2180A,2019/1/14 8:00
58,2181A,2019/1/14 8:00
64,2182A,2019/1/14 8:00
46,2189A,2019/1/14 8:00
53,2190A,2019/1/14 8:00
28,2191A,2019/1/14 8:00
38,2192A,2019/1/14 8:00
46,2197A,2019/1/14 8:00
,2199A,2019/1/14 8:00
44,2200A,2019/1/14 8:00
39,2201A,2019/1/14 8:00
4,2202A,2019/1/14 8:00
9,2203A,2019/1/14 8:00
36,2207A,2019/1/14 8:00
35,2208A,2019/1/14 8:00
43,2209A,2019/1/14 8:00
49,2210A,2019/1/14 8:00
32,2211A,2019/1/14 8:00
56,2212A,2019/1/14 8:00
56,2213A,2019/1/14 8:00
55,2214A,2019/1/14 8:00
43,2215A,2019/1/14 8:00
50,2216A,2019/1/14 8:00
33,2217A,2019/1/14 8:00
33,2218A,2019/1/14 8:00
57,2219A,2019/1/14 8:00
39,2220A,2019/1/14 8:00
37,2221A,2019/1/14 8:00
36,2222A,2019/1/14 8:00
37,2223A,2019/1/14 8:00
59,2224A,2019/1/14 8:00
59,2225A,2019/1/14 8:00
52,2226A,2019/1/14 8:00
46,2227A,2019/1/14 8:00
52,2228A,2019/1/14 8:00
42,2229A,2019/1/14 8:00
67,2230A,2019/1/14 8:00
28,2231A,2019/1/14 8:00
49,2232A,2019/1/14 8:00
,2233A,2019/1/14 8:00
42,2234A,2019/1/14 8:00
35,2235A,2019/1/14 8:00
28,2236A,2019/1/14 8:00
47,2237A,2019/1/14 8:00
51,2238A,2019/1/14 8:00
28,2239A,2019/1/14 8:00
59,2240A,2019/1/14 8:00
54,2241A,2019/1/14 8:00
48,2242A,2019/1/14 8:00
39,2243A,2019/1/14 8:00
32,2244A,2019/1/14 8:00
36,2245A,2019/1/14 8:00
47,2246A,2019/1/14 8:00
18,2247A,2019/1/14 8:00
47,2248A,2019/1/14 8:00
40,2249A,2019/1/14 8:00
60,2250A,2019/1/14 8:00
24,2251A,2019/1/14 8:00
55,2252A,2019/1/14 8:00
52,2253A,2019/1/14 8:00
27,2255A,2019/1/14 8:00
37,2256A,2019/1/14 8:00
40,2257A,2019/1/14 8:00
48,2258A,2019/1/14 8:00
30,2259A,2019/1/14 8:00
78,2260A,2019/1/14 8:00
44,2261A,2019/1/14 8:00
26,2262A,2019/1/14 8:00
4,2266A,2019/1/14 8:00
24,2267A,2019/1/14 8:00
4,2270A,2019/1/14 8:00
5,2271A,2019/1/14 8:00
6,2272A,2019/1/14 8:00
33,2273A,2019/1/14 8:00
34,2274A,2019/1/14 8:00
44,2275A,2019/1/14 8:00
4,2277A,2019/1/14 8:00
57,2278A,2019/1/14 8:00
41,2279A,2019/1/14 8:00
4,2280A,2019/1/14 8:00
5,2281A,2019/1/14 8:00
54,2282A,2019/1/14 8:00
66,2283A,2019/1/14 8:00
55,2284A,2019/1/14 8:00
55,2285A,2019/1/14 8:00
57,2286A,2019/1/14 8:00
71,2287A,2019/1/14 8:00
72,2288A,2019/1/14 8:00
46,2289A,2019/1/14 8:00
56,2290A,2019/1/14 8:00
41,2291A,2019/1/14 8:00
36,2292A,2019/1/14 8:00
,2294A,2019/1/14 8:00
18,2295A,2019/1/14 8:00
19,2296A,2019/1/14 8:00
19,2297A,2019/1/14 8:00
5,2298A,2019/1/14 8:00
42,2299A,2019/1/14 8:00
34,2300A,2019/1/14 8:00
15,2301A,2019/1/14 8:00
25,2303A,2019/1/14 8:00
11,2305A,2019/1/14 8:00
30,2306A,2019/1/14 8:00
22,2307A,2019/1/14 8:00
40,2308A,2019/1/14 8:00
43,2309A,2019/1/14 8:00
24,2310A,2019/1/14 8:00
10,2311A,2019/1/14 8:00
27,2312A,2019/1/14 8:00
82,2314A,2019/1/14 8:00
71,2315A,2019/1/14 8:00
62,2316A,2019/1/14 8:00
58,2317A,2019/1/14 8:00
80,2318A,2019/1/14 8:00
27,2319A,2019/1/14 8:00
16,2320A,2019/1/14 8:00
45,2321A,2019/1/14 8:00
30,2322A,2019/1/14 8:00
16,2323A,2019/1/14 8:00
20,2324A,2019/1/14 8:00
19,2325A,2019/1/14 8:00
17,2326A,2019/1/14 8:00
20,2327A,2019/1/14 8:00
13,2331A,2019/1/14 8:00
26,2332A,2019/1/14 8:00
21,2333A,2019/1/14 8:00
27,2334A,2019/1/14 8:00
19,2335A,2019/1/14 8:00
21,2336A,2019/1/14 8:00
35,2337A,2019/1/14 8:00
28,2338A,2019/1/14 8:00
25,2339A,2019/1/14 8:00
30,2340A,2019/1/14 8:00
40,2341A,2019/1/14 8:00
6,2342A,2019/1/14 8:00
20,2343A,2019/1/14 8:00
10,2344A,2019/1/14 8:00
24,2345A,2019/1/14 8:00
18,2346A,2019/1/14 8:00
