source_index,SiteCode,TimePoint,factor_index,NO2,NO2_obs
0,1001A,2019-01-14 08:00:00,0,83.15505981445312,97.0
0,1002A,2019-01-14 08:00:00,0,14.401856422424316,31.0
0,1003A,2019-01-14 08:00:00,0,83.15505981445312,92.0
0,1004A,2019-01-14 08:00:00,0,83.15505981445312,90.0
0,1005A,2019-01-14 08:00:00,0,80.88058471679688,86.0
0,1006A,2019-01-14 08:00:00,0,83.15505981445312,73.0
0,1007A,2019-01-14 08:00:00,0,83.15505981445312,69.0
0,1008A,2019-01-14 08:00:00,0,56.11317443847656,51.0
0,1009A,2019-01-14 08:00:00,0,26.26188087463379,37.0
0,1010A,2019-01-14 08:00:00,0,14.401856422424316,49.0
0,1011A,2019-01-14 08:00:00,0,68.85690307617188,74.0
0,1012A,2019-01-14 08:00:00,0,58.47736740112305,71.0
0,1015A,2019-01-14 08:00:00,0,102.16886901855469,81.0
0,1017A,2019-01-14 08:00:00,0,79.18141174316406,91.0
0,1018A,2019-01-14 08:00:00,0,79.18141174316406,90.0
0,1019A,2019-01-14 08:00:00,0,95.62359619140625,76.0
0,1021A,2019-01-14 08:00:00,0,66.33223724365234,86.0
0,1023A,2019-01-14 08:00:00,0,73.78819274902344,125.0
0,1024A,2019-01-14 08:00:00,0,67.1753158569336,88.0
0,1026A,2019-01-14 08:00:00,0,77.53411865234375,120.0
0,1027A,2019-01-14 08:00:00,0,57.599815368652344,68.0
0,1029A,2019-01-14 08:00:00,0,78.64017486572266,80.0
0,1030A,2019-01-14 08:00:00,0,79.46961975097656,101.0
0,1031A,2019-01-14 08:00:00,0,78.18107604980469,101.0
0,1032A,2019-01-14 08:00:00,0,71.16474914550781,110.0
0,1033A,2019-01-14 08:00:00,0,73.80260467529297,105.0
0,1034A,2019-01-14 08:00:00,0,78.18107604980469,106.0
0,1035A,2019-01-14 08:00:00,0,63.06471633911133,21.0
0,1036A,2019-01-14 08:00:00,0,102.90478515625,126.0
0,1037A,2019-01-14 08:00:00,0,102.90478515625,110.0
0,1038A,2019-01-14 08:00:00,0,102.90478515625,109.0
0,1039A,2019-01-14 08:00:00,0,102.90478515625,91.0
0,1040A,2019-01-14 08:00:00,0,102.90478515625,108.0
0,1041A,2019-01-14 08:00:00,0,102.90478515625,113.0
0,1042A,2019-01-14 08:00:00,0,73.52643585205078,52.0
0,1043A,2019-01-14 08:00:00,0,87.85848999023438,72.0
0,1044A,2019-01-14 08:00:00,0,74.09971618652344,76.0
0,1046A,2019-01-14 08:00:00,0,98.90929412841797,75.0
0,1047A,2019-01-14 08:00:00,0,75.37946319580078,50.0
0,1048A,2019-01-14 08:00:00,0,75.37946319580078,48.0
0,1049A,2019-01-14 08:00:00,0,75.91217041015625,47.0
0,1050A,2019-01-14 08:00:00,0,75.37946319580078,54.0
0,1051A,2019-01-14 08:00:00,0,76.21688079833984,101.0
0,1052A,2019-01-14 08:00:00,0,76.21688079833984,97.0
0,1053A,2019-01-14 08:00:00,0,76.21688079833984,76.0
0,1054A,2019-01-14 08:00:00,0,76.71539306640625,96.0
0,1055A,2019-01-14 08:00:00,0,76.21688079833984,80.0
0,1056A,2019-01-14 08:00:00,0,76.21688079833984,98.0
0,1057A,2019-01-14 08:00:00,0,46.47996139526367,25.0
0,1059A,2019-01-14 08:00:00,0,46.47996139526367,32.0
0,1060A,2019-01-14 08:00:00,0,46.47996139526367,24.0
0,1061A,2019-01-14 08:00:00,0,22.84640884399414,12.0
0,1062A,2019-01-14 08:00:00,0,39.47111129760742,54.0
0,1063A,2019-01-14 08:00:00,0,27.83111572265625,40.0
0,1064A,2019-01-14 08:00:00,0,27.83111572265625,43.0
0,1065A,2019-01-14 08:00:00,0,21.219287872314453,45.0
0,1066A,2019-01-14 08:00:00,0,27.83111572265625,39.0
0,1067A,2019-01-14 08:00:00,0,114.5536880493164,79.0
0,1068A,2019-01-14 08:00:00,0,114.5536880493164,94.0
0,1070A,2019-01-14 08:00:00,0,114.5536880493164,90.0
0,1071A,2019-01-14 08:00:00,0,85.92008209228516,88.0
0,1072A,2019-01-14 08:00:00,0,89.70858001708984,101.0
0,1073A,2019-01-14 08:00:00,0,89.70858001708984,102.0
0,1074A,2019-01-14 08:00:00,0,75.6452865600586,66.0
0,1075A,2019-01-14 08:00:00,0,75.6452865600586,61.0
0,1077A,2019-01-14 08:00:00,0,63.213722229003906,93.0
0,1078A,2019-01-14 08:00:00,0,72.61300659179688,60.0
0,1079A,2019-01-14 08:00:00,0,81.58228302001953,62.0
